order_item_id,order_id,product_id,quantity,unit_price,line_total,discount_percent
4061,3019,2026,4,344.85,1379.4,0
4062,3019,2021,4,276.48,1105.92,0
4063,3020,2073,2,83.93,142.68,15
4064,3020,2089,4,19.64,78.56,0
4065,3020,2029,1,96.44,86.8,10
4066,3020,2082,4,32.76,131.04,0
4067,3021,2074,2,47.62,90.48,5
4068,3021,2049,1,98.58,98.58,0
4069,3021,2055,3,1703.16,5109.48,0
4070,3022,2034,4,282.04,1128.16,0
4071,3022,2060,4,49.95,179.82,10
4072,3023,2004,1,810.03,769.53,5
4073,3023,2093,3,903.01,2573.58,5
4074,3023,2057,2,40.83,81.66,0
4075,3024,2078,1,217.4,173.92,20
4076,3024,2061,4,65.34,261.36,0
4077,3024,2092,1,40.28,32.22,20
4078,3025,2068,4,130.11,520.44,0
4079,3026,2034,1,282.04,267.94,5
4080,3026,2064,2,480.18,912.34,5
4081,3027,2002,3,1730.96,4933.24,5
4082,3027,2041,1,33.25,33.25,0
4083,3027,2034,4,282.04,1128.16,0
4084,3027,2002,3,1730.96,5192.88,0
4085,3028,2042,2,1820.54,3276.97,10
4086,3028,2034,2,282.04,479.47,15
4087,3029,2080,1,200.83,200.83,0
4088,3029,2060,4,49.95,199.8,0
4089,3030,2076,2,13.31,26.62,0
4090,3030,2054,4,273.62,930.31,15
4091,3031,2053,3,29.11,82.96,5
4092,3031,2081,1,77.16,77.16,0
4093,3031,2075,3,1371.74,3909.46,5
4094,3032,2047,4,69.63,278.52,0
4095,3032,2053,4,29.11,116.44,0
4096,3032,2052,1,856.26,813.45,5
4097,3033,2064,3,480.18,1440.54,0
4098,3033,2093,2,903.01,1535.12,15
4099,3033,2045,4,1222.5,4401.0,10
4100,3034,2083,3,555.23,1499.12,10
4101,3034,2092,3,40.28,102.71,15
4102,3034,2090,1,140.69,119.59,15
4103,3035,2042,1,1820.54,1820.54,0
4104,3035,2077,4,284.76,1139.04,0
4105,3035,2059,1,1543.12,1543.12,0
4106,3035,2031,2,43.62,74.15,15
4107,3036,2034,1,282.04,239.73,15
4108,3036,2098,1,303.18,303.18,0
4109,3037,2075,4,1371.74,4938.26,10
4110,3037,2014,1,80.82,80.82,0
4111,3037,2022,3,1084.43,3253.29,0
4112,3038,2095,2,43.25,86.5,0
4113,3039,2095,3,43.25,103.8,20
4114,3039,2083,3,555.23,1415.84,15
4115,3039,2055,2,1703.16,3406.32,0
4116,3040,2047,1,69.63,66.15,5
4117,3040,2024,2,48.34,96.68,0
4118,3040,2041,3,33.25,99.75,0
4119,3040,2011,2,1022.5,2045.0,0
4120,3040,2066,1,181.12,153.95,15
4121,3040,2018,2,32.47,64.94,0
4122,3041,2080,4,200.83,722.99,10
4123,3041,2081,4,77.16,308.64,0
4124,3042,2036,1,43.48,43.48,0
4125,3043,2052,4,856.26,3425.04,0
4126,3043,2098,2,303.18,606.36,0
4127,3044,2003,1,413.8,372.42,10
4128,3044,2097,2,632.61,1265.22,0
4129,3045,2072,2,34.11,61.4,10
4130,3045,2049,1,98.58,98.58,0
4131,3045,2019,4,346.33,1316.05,5
4132,3046,2030,2,47.85,95.7,0
4133,3046,2038,3,56.71,161.62,5
4134,3046,2096,1,127.97,127.97,0
4135,3046,2033,3,36.7,99.09,10
4136,3046,2100,3,35.57,96.04,10
4137,3046,2081,1,77.16,69.44,10
4138,3047,2087,2,33.41,66.82,0
4139,3047,2031,3,43.62,124.32,5
4140,3047,2051,3,377.22,1131.66,0
4141,3047,2034,3,282.04,803.81,5
4142,3047,2056,2,286.88,573.76,0
4143,3048,2094,3,259.12,738.49,5
4144,3048,2057,3,40.83,122.49,0
4145,3048,2097,1,632.61,537.72,15
4146,3049,2091,3,18.29,54.87,0
4147,3049,2004,3,810.03,1944.07,20
4148,3049,2099,1,221.86,221.86,0
4149,3050,2072,3,34.11,102.33,0
4150,3050,2068,3,130.11,370.81,5
4151,3050,2028,2,13.67,21.87,20
4152,3051,2043,3,46.31,125.04,10
4153,3051,2059,2,1543.12,2777.62,10
4154,3051,2054,4,273.62,1094.48,0
4155,3051,2080,2,200.83,381.58,5
4156,3051,2031,3,43.62,130.86,0
4157,3051,2013,4,48.7,175.32,10
4158,3052,2022,2,1084.43,1951.97,10
4159,3053,2013,2,48.7,97.4,0
4160,3053,2070,1,237.56,213.8,10
4161,3053,2075,1,1371.74,1371.74,0
4162,3053,2033,4,36.7,124.78,15
4163,3053,2083,1,555.23,499.71,10
4164,3054,2087,4,33.41,120.28,10
4165,3054,2032,2,48.97,97.94,0
4166,3054,2051,3,377.22,961.91,15
4167,3054,2033,2,36.7,66.06,10
4168,3054,2059,2,1543.12,3086.24,0
4169,3055,2071,1,21.19,20.13,5
4170,3055,2031,1,43.62,43.62,0
4171,3055,2073,4,83.93,302.15,10
4172,3056,2092,3,40.28,120.84,0
4173,3056,2015,2,296.44,533.59,10
4174,3057,2050,3,388.25,1048.28,10
4175,3057,2003,3,413.8,1241.4,0
4176,3058,2093,3,903.01,2438.13,10
4177,3058,2021,3,276.48,829.44,0
4178,3059,2001,4,81.68,294.05,10
4179,3059,2031,2,43.62,87.24,0
4180,3060,2095,3,43.25,110.29,15
4181,3060,2098,3,303.18,818.59,10
4182,3061,2076,4,13.31,50.58,5
4183,3061,2046,3,358.44,914.02,15
4184,3061,2034,4,282.04,1128.16,0
4185,3061,2061,1,65.34,65.34,0
4186,3062,2001,1,81.68,81.68,0
4187,3062,2043,2,46.31,83.36,10
4188,3062,2090,1,140.69,140.69,0
4189,3062,2088,4,1635.62,6215.36,5
4190,3063,2030,4,47.85,191.4,0
4191,3063,2079,3,29.21,83.25,5
4192,3063,2069,4,1040.52,3953.98,5
4193,3064,2098,1,303.18,303.18,0
4194,3064,2001,1,81.68,73.51,10
4195,3064,2100,1,35.57,35.57,0
4196,3064,2052,1,856.26,856.26,0
4197,3064,2049,4,98.58,394.32,0
4198,3065,2057,3,40.83,122.49,0
4199,3065,2096,1,127.97,127.97,0
4200,3065,2055,3,1703.16,5109.48,0
4201,3065,2056,1,286.88,272.54,5
4202,3066,2074,1,47.62,47.62,0
4203,3066,2018,3,32.47,97.41,0
4204,3066,2001,1,81.68,73.51,10
4205,3067,2062,3,1545.39,3708.94,20
4206,3067,2026,3,344.85,982.82,5
4207,3068,2087,4,33.41,126.96,5
4208,3068,2042,3,1820.54,5461.62,0
4209,3068,2042,1,1820.54,1820.54,0
4210,3068,2078,2,217.4,434.8,0
4211,3068,2064,3,480.18,1440.54,0
4212,3069,2003,1,413.8,372.42,10
4213,3069,2024,2,48.34,82.18,15
4214,3070,2069,1,1040.52,1040.52,0
4215,3070,2095,1,43.25,43.25,0
4216,3070,2031,4,43.62,165.76,5
4217,3070,2067,2,330.49,594.88,10
4218,3070,2034,1,282.04,253.84,10
4219,3071,2026,2,344.85,655.22,5
4220,3072,2096,3,127.97,383.91,0
4221,3072,2097,1,632.61,600.98,5
4222,3072,2098,3,303.18,909.54,0
4223,3073,2041,2,33.25,63.18,5
4224,3073,2064,4,480.18,1920.72,0
4225,3073,2081,2,77.16,154.32,0
4226,3074,2086,3,119.99,305.97,15
4227,3074,2041,2,33.25,59.85,10
4228,3074,2052,4,856.26,3425.04,0
4229,3075,2004,1,810.03,810.03,0
4230,3075,2080,3,200.83,602.49,0
4231,3075,2090,3,140.69,422.07,0
4232,3075,2043,3,46.31,138.93,0
4233,3076,2098,1,303.18,272.86,10
4234,3076,2075,2,1371.74,2743.48,0
4235,3076,2048,3,880.52,2245.33,15
4236,3076,2019,2,346.33,692.66,0
4237,3076,2076,4,13.31,53.24,0
4238,3077,2021,1,276.48,276.48,0
4239,3077,2026,4,344.85,1103.52,20
4240,3077,2066,4,181.12,724.48,0
4241,3077,2094,4,259.12,829.18,20
4242,3078,2039,1,448.11,448.11,0
4243,3078,2033,4,36.7,139.46,5
4244,3078,2062,1,1545.39,1545.39,0
4245,3078,2050,3,388.25,1164.75,0
4246,3078,2044,2,188.1,338.58,10
4247,3079,2095,4,43.25,173.0,0
4248,3080,2056,3,286.88,817.61,5
4249,3080,2006,4,34.68,138.72,0
4250,3080,2052,2,856.26,1712.52,0
4251,3080,2096,2,127.97,255.94,0
4252,3080,2027,4,1239.54,4958.16,0
4253,3081,2054,4,273.62,985.03,10
4254,3081,2063,2,373.81,747.62,0
4255,3081,2069,1,1040.52,1040.52,0
4256,3081,2075,3,1371.74,3292.18,20
4257,3082,2089,4,19.64,78.56,0
4258,3082,2020,2,857.35,1714.7,0
4259,3082,2052,1,856.26,813.45,5
4260,3082,2096,4,127.97,460.69,10
4261,3082,2016,4,15.11,51.37,15
4262,3082,2071,3,21.19,63.57,0
4263,3083,2087,2,33.41,56.8,15
4264,3083,2092,4,40.28,161.12,0
4265,3083,2091,3,18.29,49.38,10
4266,3084,2041,1,33.25,33.25,0
4267,3084,2073,4,83.93,268.58,20
4268,3084,2058,2,46.76,93.52,0
4269,3084,2046,2,358.44,716.88,0
4270,3085,2022,3,1084.43,3253.29,0
4271,3085,2053,4,29.11,116.44,0
4272,3085,2094,2,259.12,492.33,5
4273,3085,2060,2,49.95,99.9,0
4274,3085,2027,4,1239.54,4710.25,5
4275,3085,2030,3,47.85,122.02,15
4276,3086,2080,2,200.83,401.66,0
4277,3086,2091,1,18.29,18.29,0
4278,3086,2079,1,29.21,27.75,5
4279,3087,2080,1,200.83,180.75,10
4280,3088,2092,3,40.28,108.76,10
4281,3088,2099,1,221.86,221.86,0
4282,3088,2055,2,1703.16,3236.0,5
4283,3088,2097,3,632.61,1802.94,5
4284,3089,2083,1,555.23,499.71,10
4285,3089,2029,2,96.44,183.24,5
4286,3090,2040,2,30.53,61.06,0
4287,3090,2066,3,181.12,461.86,15
4288,3090,2048,2,880.52,1761.04,0
4289,3090,2073,3,83.93,251.79,0
4290,3091,2061,1,65.34,65.34,0
4291,3091,2007,1,181.55,181.55,0
4292,3092,2063,2,373.81,710.24,5
4293,3092,2042,4,1820.54,7282.16,0
4294,3092,2008,3,25.42,76.26,0
4295,3093,2095,1,43.25,38.93,10
4296,3093,2096,2,127.97,255.94,0
4297,3093,2096,4,127.97,486.29,5
4298,3094,2093,3,903.01,2709.03,0
4299,3094,2033,2,36.7,73.4,0
4300,3095,2075,4,1371.74,4938.26,10
4301,3095,2061,1,65.34,55.54,15
4302,3095,2037,3,130.62,333.08,15
4303,3096,2069,4,1040.52,3953.98,5
4304,3096,2086,4,119.99,479.96,0
4305,3096,2057,2,40.83,81.66,0
4306,3096,2072,3,34.11,92.1,10
4307,3097,2019,2,346.33,658.03,5
4308,3097,2079,1,29.21,29.21,0
4309,3098,2096,4,127.97,511.88,0
4310,3098,2012,4,38.81,155.24,0
4311,3098,2057,4,40.83,163.32,0
4312,3098,2097,2,632.61,1265.22,0
4313,3098,2055,3,1703.16,5109.48,0
4314,3098,2081,2,77.16,146.6,5
4315,3099,2035,4,484.95,1842.81,5
4316,3100,2061,3,65.34,186.22,5
4317,3100,2014,2,80.82,161.64,0
4318,3101,2094,3,259.12,777.36,0
4319,3101,2098,3,303.18,773.11,15
4320,3102,2014,4,80.82,307.12,5
4321,3102,2088,1,1635.62,1635.62,0
4322,3102,2064,3,480.18,1296.49,10
4323,3102,2028,2,13.67,25.97,5
4324,3103,2017,3,33.22,89.69,10
4325,3103,2090,1,140.69,119.59,15
4326,3104,2042,3,1820.54,4642.38,15
4327,3105,2074,1,47.62,47.62,0
4328,3105,2078,4,217.4,782.64,10
4329,3105,2054,3,273.62,820.86,0
4330,3106,2053,2,29.11,58.22,0
4331,3106,2040,2,30.53,61.06,0
4332,3107,2031,1,43.62,41.44,5
4333,3108,2037,3,130.62,372.27,5
4334,3108,2072,1,34.11,34.11,0
4335,3108,2035,3,484.95,1382.11,5
4336,3109,2084,2,10.55,21.1,0
4337,3109,2025,1,190.35,161.8,15
4338,3109,2011,1,1022.5,1022.5,0
4339,3109,2020,3,857.35,2057.64,20
4340,3110,2041,2,33.25,59.85,10
4341,3110,2037,3,130.62,391.86,0
4342,3110,2051,3,377.22,1131.66,0
4343,3111,2063,1,373.81,317.74,15
4344,3111,2053,2,29.11,58.22,0
4345,3111,2030,3,47.85,136.37,5
4346,3112,2014,1,80.82,80.82,0
4347,3112,2009,3,70.87,212.61,0
4348,3112,2032,2,48.97,88.15,10
4349,3112,2046,3,358.44,914.02,15
4350,3113,2093,2,903.01,1625.42,10
4351,3113,2077,3,284.76,854.28,0
4352,3114,2045,3,1222.5,3667.5,0
4353,3114,2055,4,1703.16,6472.01,5
4354,3115,2083,2,555.23,1110.46,0
4355,3115,2077,4,284.76,1139.04,0
4356,3115,2086,2,119.99,227.98,5
4357,3115,2084,2,10.55,20.05,5
4358,3115,2085,1,352.02,334.42,5
4359,3115,2069,4,1040.52,3745.87,10
4360,3116,2023,1,67.99,64.59,5
4361,3116,2040,1,30.53,25.95,15
4362,3116,2036,1,43.48,39.13,10
4363,3116,2010,3,29.84,89.52,0
4364,3116,2040,3,30.53,82.43,10
4365,3116,2095,4,43.25,147.05,15
4366,3117,2097,2,632.61,1265.22,0
4367,3117,2060,1,49.95,49.95,0
4368,3118,2035,2,484.95,969.9,0
4369,3118,2059,4,1543.12,6172.48,0
4370,3118,2038,2,56.71,113.42,0
4371,3118,2029,3,96.44,274.85,5
4372,3118,2084,2,10.55,18.99,10
4373,3118,2063,3,373.81,897.14,20
4374,3119,2017,3,33.22,79.73,20
4375,3119,2055,4,1703.16,6131.38,10
4376,3119,2044,3,188.1,536.08,5
4377,3120,2095,4,43.25,173.0,0
4378,3120,2031,1,43.62,43.62,0
4379,3121,2055,4,1703.16,6812.64,0
4380,3121,2056,1,286.88,286.88,0
4381,3122,2010,1,29.84,29.84,0
4382,3122,2028,1,13.67,13.67,0
4383,3122,2090,1,140.69,112.55,20
4384,3122,2007,1,181.55,181.55,0
4385,3123,2020,3,857.35,2572.05,0
4386,3123,2038,2,56.71,96.41,15
4387,3123,2035,1,484.95,460.7,5
4388,3123,2002,4,1730.96,6231.46,10
4389,3123,2058,3,46.76,140.28,0
4390,3123,2037,3,130.62,372.27,5
4391,3124,2064,2,480.18,960.36,0
4392,3124,2032,2,48.97,97.94,0
4393,3125,2002,2,1730.96,3115.73,10
4394,3125,2003,2,413.8,827.6,0
4395,3125,2040,1,30.53,27.48,10
4396,3126,2079,1,29.21,29.21,0
4397,3127,2023,1,67.99,67.99,0
4398,3127,2005,1,821.88,739.69,10
4399,3127,2069,1,1040.52,1040.52,0
4400,3127,2048,4,880.52,3169.87,10
4401,3127,2049,2,98.58,197.16,0
4402,3128,2033,3,36.7,99.09,10
4403,3128,2015,3,296.44,889.32,0
4404,3129,2063,4,373.81,1495.24,0
4405,3130,2052,1,856.26,856.26,0
4406,3130,2097,3,632.61,1897.83,0
4407,3131,2038,2,56.71,113.42,0
4408,3131,2037,2,130.62,222.05,15
4409,3131,2052,4,856.26,3253.79,5
4410,3131,2043,3,46.31,131.98,5
4411,3131,2087,4,33.41,113.59,15
4412,3132,2047,2,69.63,132.3,5
4413,3132,2062,3,1545.39,3940.74,15
4414,3132,2056,1,286.88,286.88,0
4415,3132,2095,4,43.25,164.35,5
4416,3133,2058,4,46.76,168.34,10
4417,3133,2064,1,480.18,480.18,0
4418,3133,2016,3,15.11,43.06,5
4419,3133,2053,4,29.11,104.8,10
4420,3134,2001,3,81.68,245.04,0
4421,3134,2060,1,49.95,44.96,10
4422,3135,2074,4,47.62,171.43,10
4423,3135,2076,1,13.31,12.64,5
4424,3136,2059,3,1543.12,3934.96,15
4425,3136,2013,2,48.7,92.53,5
4426,3136,2095,2,43.25,82.18,5
4427,3136,2016,2,15.11,30.22,0
4428,3137,2022,4,1084.43,4337.72,0
4429,3137,2063,1,373.81,373.81,0
4430,3137,2017,2,33.22,66.44,0
4431,3137,2040,4,30.53,122.12,0
4432,3138,2075,2,1371.74,2606.31,5
4433,3138,2031,2,43.62,87.24,0
4434,3138,2013,2,48.7,97.4,0
4435,3139,2032,3,48.97,139.56,5
4436,3139,2052,1,856.26,813.45,5
4437,3139,2006,3,34.68,104.04,0
4438,3140,2042,3,1820.54,5461.62,0
4439,3140,2010,1,29.84,28.35,5
4440,3140,2077,4,284.76,1139.04,0
4441,3140,2013,4,48.7,194.8,0
4442,3141,2080,4,200.83,803.32,0
4443,3141,2091,3,18.29,46.64,15
4444,3141,2065,2,209.37,418.74,0
4445,3141,2043,2,46.31,87.99,5
4446,3141,2055,3,1703.16,4343.06,15
4447,3142,2088,2,1635.62,2780.55,15
4448,3142,2077,3,284.76,811.57,5
4449,3142,2025,1,190.35,171.32,10
4450,3142,2020,4,857.35,3257.93,5
4451,3143,2097,3,632.61,1897.83,0
4452,3143,2071,3,21.19,63.57,0
4453,3143,2094,1,259.12,259.12,0
4454,3144,2041,2,33.25,66.5,0
4455,3144,2068,2,130.11,260.22,0
4456,3144,2075,2,1371.74,2331.96,15
4457,3144,2006,1,34.68,34.68,0
4458,3145,2078,3,217.4,652.2,0
4459,3145,2087,3,33.41,100.23,0
4460,3146,2006,3,34.68,104.04,0
4461,3146,2077,3,284.76,811.57,5
4462,3146,2059,4,1543.12,6172.48,0
4463,3146,2025,3,190.35,542.5,5
4464,3147,2064,2,480.18,960.36,0
4465,3147,2045,4,1222.5,4156.5,15
4466,3147,2063,2,373.81,598.1,20
4467,3148,2001,1,81.68,77.6,5
4468,3148,2099,4,221.86,887.44,0
4469,3148,2004,4,810.03,3240.12,0
4470,3149,2089,1,19.64,19.64,0
4471,3149,2097,2,632.61,1265.22,0
4472,3149,2097,1,632.61,600.98,5
4473,3150,2083,3,555.23,1582.41,5
4474,3150,2073,2,83.93,167.86,0
4475,3150,2075,1,1371.74,1234.57,10
4476,3151,2015,4,296.44,1185.76,0
4477,3151,2084,1,10.55,10.55,0
4478,3151,2010,2,29.84,59.68,0
4479,3151,2097,3,632.61,1802.94,5
4480,3151,2065,4,209.37,837.48,0
4481,3151,2045,4,1222.5,4401.0,10
4482,3151,2032,1,48.97,46.52,5
4483,3152,2033,4,36.7,146.8,0
4484,3152,2050,4,388.25,1553.0,0
4485,3153,2044,2,188.1,357.39,5
4486,3153,2086,3,119.99,341.97,5
4487,3154,2092,3,40.28,120.84,0
4488,3154,2093,4,903.01,3250.84,10
4489,3154,2008,2,25.42,43.21,15
4490,3154,2042,1,1820.54,1547.46,15
4491,3154,2096,4,127.97,511.88,0
4492,3154,2020,4,857.35,3429.4,0
4493,3155,2029,4,96.44,347.18,10
4494,3155,2071,2,21.19,42.38,0
4495,3155,2056,1,286.88,258.19,10
4496,3155,2085,2,352.02,563.23,20
4497,3156,2002,1,1730.96,1471.32,15
4498,3156,2096,4,127.97,486.29,5
4499,3156,2076,1,13.31,13.31,0
4500,3156,2017,4,33.22,119.59,10
4501,3156,2016,1,15.11,14.35,5
4502,3156,2033,4,36.7,132.12,10
4503,3157,2079,1,29.21,29.21,0
4504,3157,2046,1,358.44,358.44,0
4505,3157,2029,2,96.44,192.88,0
4506,3158,2061,2,65.34,130.68,0
4507,3158,2013,1,48.7,43.83,10
4508,3158,2032,2,48.97,97.94,0
4509,3159,2026,4,344.85,1379.4,0
4510,3159,2046,4,358.44,1362.07,5
4511,3160,2091,4,18.29,58.53,20
4512,3160,2035,3,484.95,1309.36,10
4513,3160,2095,1,43.25,34.6,20
4514,3161,2060,1,49.95,49.95,0
4515,3161,2011,3,1022.5,2454.0,20
4516,3161,2064,2,480.18,816.31,15
4517,3162,2039,3,448.11,1277.11,5
4518,3162,2014,4,80.82,274.79,15
4519,3162,2015,1,296.44,251.97,15
4520,3163,2064,1,480.18,480.18,0
4521,3163,2045,4,1222.5,4401.0,10
4522,3163,2036,4,43.48,173.92,0
4523,3163,2028,3,13.67,34.86,15
4524,3164,2080,2,200.83,401.66,0
4525,3164,2050,4,388.25,1475.35,5
4526,3164,2064,4,480.18,1920.72,0
4527,3165,2021,3,276.48,829.44,0
4528,3166,2017,3,33.22,99.66,0
4529,3166,2044,2,188.1,376.2,0
4530,3167,2069,1,1040.52,1040.52,0
4531,3167,2078,2,217.4,434.8,0
4532,3167,2089,4,19.64,78.56,0
4533,3168,2074,3,47.62,142.86,0
4534,3168,2098,2,303.18,606.36,0
4535,3168,2035,1,484.95,484.95,0
4536,3168,2080,1,200.83,200.83,0
4537,3168,2039,3,448.11,1344.33,0
4538,3168,2059,2,1543.12,2931.93,5
4539,3168,2070,4,237.56,950.24,0
4540,3168,2060,3,49.95,142.36,5
4541,3169,2028,1,13.67,12.99,5
4542,3169,2054,4,273.62,1094.48,0
4543,3170,2089,1,19.64,19.64,0
4544,3170,2081,4,77.16,308.64,0
4545,3170,2097,3,632.61,1897.83,0
4546,3170,2063,2,373.81,672.86,10
4547,3171,2053,3,29.11,87.33,0
4548,3171,2076,2,13.31,26.62,0
4549,3171,2097,2,632.61,1265.22,0
4550,3172,2086,1,119.99,119.99,0
4551,3172,2035,2,484.95,969.9,0
4552,3173,2089,2,19.64,31.42,20
4553,3173,2058,3,46.76,133.27,5
4554,3173,2050,4,388.25,1475.35,5
4555,3173,2065,4,209.37,837.48,0
4556,3174,2088,1,1635.62,1635.62,0
4557,3174,2078,4,217.4,739.16,15
4558,3174,2069,3,1040.52,2965.48,5
4559,3174,2074,3,47.62,142.86,0
4560,3175,2030,1,47.85,45.46,5
4561,3175,2081,1,77.16,77.16,0
4562,3175,2098,2,303.18,576.04,5
4563,3175,2017,4,33.22,132.88,0
4564,3176,2002,1,1730.96,1471.32,15
4565,3176,2064,2,480.18,960.36,0
4566,3177,2067,1,330.49,330.49,0
4567,3177,2062,1,1545.39,1313.58,15
4568,3177,2096,2,127.97,217.55,15
4569,3177,2090,1,140.69,119.59,15
4570,3177,2065,1,209.37,209.37,0
4571,3178,2088,4,1635.62,6215.36,5
4572,3178,2010,4,29.84,113.39,5
4573,3178,2010,1,29.84,28.35,5
4574,3178,2051,3,377.22,1131.66,0
4575,3178,2023,1,67.99,67.99,0
4576,3179,2054,4,273.62,1039.76,5
4577,3179,2062,4,1545.39,6181.56,0
4578,3179,2017,3,33.22,89.69,10
4579,3180,2008,3,25.42,64.82,15
4580,3180,2054,3,273.62,820.86,0
4581,3181,2080,4,200.83,803.32,0
4582,3181,2056,3,286.88,860.64,0
4583,3181,2067,2,330.49,594.88,10
4584,3181,2062,4,1545.39,6181.56,0
4585,3182,2076,1,13.31,13.31,0
4586,3182,2011,3,1022.5,3067.5,0
4587,3183,2029,3,96.44,260.39,10
4588,3183,2001,3,81.68,232.79,5
4589,3184,2022,3,1084.43,2765.3,15
4590,3184,2033,2,36.7,69.73,5
4591,3184,2056,2,286.88,573.76,0
4592,3185,2026,4,344.85,1310.43,5
4593,3185,2042,2,1820.54,3641.08,0
4594,3185,2042,3,1820.54,4369.3,20
4595,3186,2050,1,388.25,388.25,0
4596,3186,2055,3,1703.16,5109.48,0
4597,3186,2019,1,346.33,277.06,20
4598,3187,2041,3,33.25,94.76,5
4599,3187,2035,4,484.95,1939.8,0
4600,3188,2021,3,276.48,787.97,5
4601,3188,2017,3,33.22,94.68,5
4602,3189,2078,4,217.4,869.6,0
4603,3189,2068,1,130.11,130.11,0
4604,3190,2005,1,821.88,698.6,15
4605,3190,2063,2,373.81,672.86,10
4606,3190,2001,4,81.68,310.38,5
4607,3190,2022,1,1084.43,975.99,10
4608,3190,2057,4,40.83,163.32,0
4609,3190,2048,1,880.52,792.47,10
4610,3191,2027,4,1239.54,4710.25,5
4611,3191,2041,3,33.25,89.78,10
4612,3191,2080,4,200.83,803.32,0
4613,3191,2053,1,29.11,26.2,10
4614,3192,2048,3,880.52,2509.48,5
4615,3192,2098,2,303.18,606.36,0
4616,3192,2059,3,1543.12,3934.96,15
4617,3193,2093,3,903.01,2709.03,0
4618,3193,2088,4,1635.62,5233.98,20
4619,3193,2095,3,43.25,129.75,0
4620,3194,2016,3,15.11,45.33,0
4621,3194,2034,4,282.04,1015.34,10
4622,3195,2038,3,56.71,153.12,10
4623,3196,2078,2,217.4,369.58,15
4624,3196,2077,4,284.76,911.23,20
4625,3196,2029,3,96.44,231.46,20
4626,3196,2035,4,484.95,1648.83,15
4627,3196,2020,3,857.35,2186.24,15
4628,3197,2067,1,330.49,330.49,0
4629,3197,2011,3,1022.5,3067.5,0
4630,3198,2097,4,632.61,2150.87,15
4631,3198,2087,1,33.41,33.41,0
4632,3198,2002,2,1730.96,3288.82,5
4633,3199,2094,1,259.12,259.12,0
4634,3199,2005,4,821.88,3287.52,0
4635,3199,2067,2,330.49,561.83,15
4636,3199,2084,4,10.55,42.2,0
4637,3200,2054,3,273.62,697.73,15
4638,3200,2086,3,119.99,359.97,0
4639,3201,2067,4,330.49,1255.86,5
4640,3201,2093,3,903.01,2438.13,10
4641,3202,2040,1,30.53,29.0,5
4642,3203,2012,2,38.81,65.98,15
4643,3203,2051,4,377.22,1508.88,0
4644,3203,2088,1,1635.62,1472.06,10
4645,3204,2067,4,330.49,1255.86,5
4646,3204,2004,2,810.03,1539.06,5
4647,3205,2064,1,480.18,480.18,0
4648,3205,2016,4,15.11,60.44,0
4649,3205,2003,2,413.8,786.22,5
4650,3206,2072,4,34.11,129.62,5
