product_id,product_name,category,subcategory,unit_price,cost_price,stock_quantity,is_active
2060,Deluxe Men Bundle,Clothing,Men,49.95,23.23,369,True
2061,Compact Women Item,Clothing,Women,65.34,45.66,909,True
2062,Standard Smartphones Bundle,Electronics,Smartphones,1545.39,796.28,705,True
2063,Standard Apparel Bundle,Sports,Apparel,373.81,252.16,290,True
2064,Compact Kitchen Device,Home & Garden,Kitchen,480.18,200.41,204,False
2065,Standard Shoes Kit,Sports,Shoes,209.37,90.45,873,True
2066,Standard Equipment Bundle,Sports,Equipment,181.12,81.67,204,True
2067,Compact Shoes Item,Sports,Shoes,330.49,170.69,676,False
2068,Smart Equipment Device,Sports,Equipment,130.11,62.42,102,True
2069,Ultra Laptops Kit,Electronics,Laptops,1040.52,497.35,681,False
2070,Standard Kitchen Kit,Home & Garden,Kitchen,237.56,97.33,955,True
2071,Ultra Science Device,Books,Science,21.19,11.09,70,True
2072,Compact Science Item,Books,Science,34.11,16.42,643,True
2073,Standard Decor Bundle,Home & Garden,Decor,83.93,35.49,60,True
2074,Professional Non-Fiction Device,Books,Non-Fiction,47.62,25.0,412,True
2075,Professional Laptops Set,Electronics,Laptops,1371.74,926.96,798,True
2076,Standard Non-Fiction Item,Books,Non-Fiction,13.31,8.82,14,True
2077,Deluxe Equipment Bundle,Sports,Equipment,284.76,127.99,475,True
2078,Smart Kitchen Item,Home & Garden,Kitchen,217.4,137.68,613,False
2079,Smart Fiction Item,Books,Fiction,29.21,20.32,691,True
2080,Premium Shoes Item,Sports,Shoes,200.83,125.49,838,True
2081,Premium Women Item,Clothing,Women,77.16,50.06,543,True
2082,Standard Fiction Device,Books,Fiction,32.76,13.73,414,True
2083,Professional Smartphones Kit,Electronics,Smartphones,555.23,244.39,847,True
2084,Smart Fiction Product,Books,Fiction,10.55,4.46,522,True
2085,Ultra Kitchen Item,Home & Garden,Kitchen,352.02,197.24,654,True
2086,Professional Men Kit,Clothing,Men,119.99,80.87,242,True
2087,Deluxe Non-Fiction Set,Books,Non-Fiction,33.41,20.64,533,False
2088,Professional Laptops Kit,Electronics,Laptops,1635.62,839.65,355,True
2089,Standard Fiction Kit,Books,Fiction,19.64,9.06,55,True
2090,Premium Furniture Item,Home & Garden,Furniture,140.69,67.87,555,True
2091,Smart Science Bundle,Books,Science,18.29,12.13,954,True
2092,Compact Non-Fiction Device,Books,Non-Fiction,40.28,16.68,87,True
2093,Standard Smartphones Item,Electronics,Smartphones,903.01,367.21,739,True
2094,Deluxe Decor Device,Home & Garden,Decor,259.12,140.67,822,True
2095,Compact Fiction Kit,Books,Fiction,43.25,21.29,932,True
2096,Compact Women Item,Clothing,Women,127.97,88.35,82,True
2097,Compact Smartphones Set,Electronics,Smartphones,632.61,403.32,803,True
2098,Smart Apparel Kit,Sports,Apparel,303.18,164.93,258,True
2099,Standard Equipment Device,Sports,Equipment,221.86,140.97,56,True
2100,Smart Non-Fiction Item,Books,Non-Fiction,35.57,22.82,130,True
